PathwayName,Expression,Number of Genes
NIK-->noncanonical NF-kB signaling,0.46999274357522874,46
APC/C:Cdc20 mediated degradation of Securin,0.46959945514663554,55
DNA Damage Recognition in GG-NER,0.46828926394523734,38
Translesion Synthesis by POLH,0.46811459254935084,19
Processing of Capped Intronless Pre-mRNA,0.4660477540391688,29
PDH complex synthesizes acetyl-CoA from PYR,0.4657963525299641,6
Pausing and recovery of Tat-mediated HIV elongation,0.4642150692461996,31
Tat-mediated HIV elongation arrest and recovery,0.4642150692461996,31
Negative feedback regulation of MAPK pathway,0.4634296544015947,6
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",0.4632150124964218,7
Loss of MECP2 binding ability to the NCoR/SMRT complex,0.46295690845972826,7
Degradation of GLI1 by the proteasome,0.4613146255858095,47
Processing of Intronless Pre-mRNAs,0.4610921508450072,20
Synthesis of active ubiquitin: roles of E1 and E2 enzymes,0.4597238890719417,30
VxPx cargo-targeting to cilium,0.4595956764235336,21
Synthesis of GDP-mannose,0.45941916715697084,6
Formation of Incision Complex in GG-NER,0.4572350858564557,43
Negative regulation of NOTCH4 signaling,0.45673131195096783,44
Organic anion transporters,0.4565322004867865,12
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,0.45581590706257474,39
p53-Independent DNA Damage Response,0.45581590706257474,39
p53-Independent G1/S DNA damage checkpoint,0.45581590706257474,39
SARS-CoV-2 modulates autophagy,0.45505803091595837,11
Autodegradation of Cdh1 by Cdh1:APC/C,0.45438987517544743,54
Digestion and absorption,0.4542832400222351,28
Assembly Of The HIV Virion,0.4542135174394904,16
Defective CFTR causes cystic fibrosis,0.45215334286361986,48
Membrane binding and targetting of GAG proteins,0.45178368024302545,14
"Synthesis And Processing Of GAG, GAGPOL Polyproteins",0.4517836802430254,14
Regulation of Apoptosis,0.4517052490599073,40
Processing and activation of SUMO,0.45114547190526116,10
Degradation of DVL,0.4505610066087523,44
M-decay: degradation of maternal mRNAs by maternally stored factors,0.4505016804438902,33
Vpu mediated degradation of CD4,0.45005834028073693,39
SCF-beta-TrCP mediated degradation of Emi1,0.4476489065610225,42
Sensory perception of taste,0.4449379001505369,47
Autodegradation of the E3 ubiquitin ligase COP1,0.44486058387968874,39
SUMO is proteolytically processed,0.4442903664603528,6
AUF1 (hnRNP D0) binds and destabilizes mRNA,0.44271265242808977,42
GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,0.44088287681159505,42
Activation of the phototransduction cascade,0.439476119477159,11
Interaction With Cumulus Cells And The Zona Pellucida,0.43807105106082594,11
Mineralocorticoid biosynthesis,0.4359107434557661,6
Opsins,0.43474158922769957,9
Recycling of eIF2:GDP,0.43337816219838465,8
Regulation of activated PAK-2p34 by proteasome mediated degradation,0.4325042799989894,37
Digestion,0.42631604441143645,23
Josephin domain DUBs,0.42217730702227,12
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,0.41898290712975755,5
Relaxin receptors,0.4170742226950679,8
Hh mutants abrogate ligand secretion,0.412816516613532,46
"Incretin synthesis, secretion, and inactivation",0.41032006563199064,24
"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.4020497995211401,41
Hh mutants are degraded by ERAD,0.40181411627491126,43
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",0.3980132726519567,21
Biosynthesis of maresin-like SPMs,0.39790365351402607,6
Tachykinin receptors bind tachykinins,0.3963321628009237,5
Hormone ligand-binding receptors,0.3933932760764118,12
Regulation of IFNA/IFNB signaling,0.3933718690179444,26
Regulation of signaling by NODAL,0.3925330675298918,12
Evasion by RSV of host interferon responses,0.38109710513184925,35
Digestion of dietary carbohydrate,0.37942241048593367,11
Orexin and neuropeptides FF and QRFP bind to their respective receptors,0.3773049571798307,8
Serotonin and melatonin biosynthesis,0.3655467058023776,5
Dopamine receptors,0.3530294217484298,5
Glucuronidation,0.3486338850296482,25
Zygotic genome activation (ZGA),0.34108903098603377,16
TRAF6 mediated IRF7 activation,0.3327565733642046,30
CYP2E1 reactions,0.3279407196567842,11
Class C/3 (Metabotropic glutamate/pheromone receptors),0.31377205067924496,39
Conjugation of salicylate with glycine,0.30445601595136074,8
Conjugation of carboxylic acids,0.303642311534131,9
Amino Acid conjugation,0.30364231153413096,9
Beta defensins,0.2970439877924025,43
Sensory Perception,0.29664734403807236,625
Defensins,0.2656970844210281,53
Conjugation of benzoate with glycine,0.24803263797967331,6
Alpha-defensins,0.22304314841037798,10
Defective F9 activation,0.20368127667156152,6
Defective factor IX causes hemophilia B,0.19100607973446898,9
Organic anion transport,0.13777338333600536,5
Olfactory Signaling Pathway,0.11515188642284162,407
Expression and translocation of olfactory receptors,0.10171033243782535,399
